name,description
Black Orchestra,"À medida que o domínio de Hitler sobre a Alemanha se aperta e seu fervor maníaco é desmascarado, homens dos mais altos níveis do Reich começam a planejar seu assassinato. À medida que o relógio passa e as ambições de Hitler crescem, esses poucos ousados ​​devem construir sua força e se preparar para o momento perfeito para atacar. A Gestapo persegue seu rastro, chamando esses conspiradores de ""Schwarze Kapelle"", a Orquestra Negra. Será que esse bando de patriotas ousados ​​salvará seu país da ruína total antes que seja tarde demais? Black Orchestra começa com cada jogador escolhendo uma figura histórica envolvida na conspiração contra Hitler. Nessa busca sombria e perigosa, a motivação talvez seja sua maior arma. Se você puder permanecer fiel às suas convicções diante de uma ameaça esmagadora e inspirar seus companheiros, então você poderá usar sua habilidade especial, tentar tramas e até se tornar zeloso (necessário para algumas tramas extremamente ousadas). Mas cada movimento que você faz também pode aumentar a suspeita das autoridades. A Gestapo fará varreduras de rotina, e qualquer jogador com alta suspeita será preso e interrogado (possivelmente resultando na prisão de outros jogadores). Se todos forem presos ou se a Gestapo encontrar seus papéis secretos, você perde. E a suspeita colocada em cada conspirador aumentará as chances de seus planos serem detectados. Em um turno, os jogadores podem realizar três ações, como se mover, procurar um item ou comprar uma carta; ou, ao custo de uma ação por dado, jogue os dados na tentativa de ganhar ainda mais ações   correndo o risco de atrair a suspeita da Gestapo. Este dado rolando  Conspirar  ação permite aos jogadores fazer movimentos ousados ​​quando mais necessário. Após as ações terem sido realizadas, uma carta de evento é comprada. O jogo é jogado em sete fases da Segunda Guerra Mundial, representado por sete pilhas de cartas de evento. Esses cartões guiam você pelos eventos da Segunda Guerra Mundial em uma ordem cronológica aproximada (mas não estritamente). Novos estágios abrem novas áreas do conselho, fazem com que Hitler e seus deputados interajam com os Conspiradores e apresentem várias oportunidades ou ameaças. Durante a fase final, muitos espaços de tabuleiro ficam fora dos limites, à medida que os Aliados se aproximam da Alemanha. Para vencer, os jogadores devem coletar uma carta de enredo e cumprir todos os requisitos necessários listados (como ter Hitler em um determinado espaço e possuir certos itens - detonador e fusível, etc.). O jogador ativo pode então tentar a trama rolando os dados indicados, incluindo todos os modificadores adicionais e cartas de Ação úteis. O total do número de  Destino  símbolos necessários para matar Hitler é baseado no apoio militar de Hitler, mas o nível de segurança de um Conspirador decide se alguma  Águias  rolado os verá detectados e frustrará a trama de qualquer maneira. Os jogadores devem considerar sua capacidade de completar com sucesso uma trama e os níveis relativos de suspeita dos diferentes Conspiradores envolvidos. Os jogadores precisarão trabalhar juntos e concordar com o curso de ação mais sábio, além de ter um pouco de sorte, para ter sucesso. O fenômeno de um jogador dominar o jogo por causa de sua natureza cooperativa é mitigado pelo fato de que não há certezas, e muitas vezes um jogador precisará fazer um movimento ousado ou imprudente para manter a conspiração viva. Cabeças frias geralmente prevalecem, mas jogue com calma demais e você pode perder sua chance. A dinâmica cooperativa fica realmente interessante se um jogador for preso e não resistir ao interrogatório, então ele precisará tomar uma grande decisão sozinho, sem revelar suas opções ao grupo. Nenhum jogador pode garantir o sucesso. Espera-se que os jogadores tenham conversas tensas semelhantes às dos verdadeiros conspiradores e desfrutem de uma experiência histórica verdadeiramente única.
"
Snowdonia,"Os picos de Snowdonia se erguem diante de você, envoltos em névoa, seus cumes quase imperceptíveis. A mais alta é a própria Snowdon (Wyddfa) a 1.085 metros. O ano é 1894, e a Snowdon Mountain Tramroad and Hotels Company Limited foi formada para construir um ramal de Llanberis até o cume. Você mal pode acreditar que é possível! Em Snowdonia, os jogadores representam gangues de trabalho que fornecem mão de obra para a construção da Ferrovia Snowdon Mountain. Ao contrário de outros jogos de trem, você terá que escavar um lado da montanha, além de fazer e colocar os trilhos, construir viadutos e estações. Tudo isso em competição com o clima das montanhas galesas (e o próprio jogo)! Você pode ser auxiliado por um trem (embora isso nem sempre seja o melhor) e poderá coletar materiais essenciais do Stock Yard. Você obterá contratos de trabalho especiais que lhe dão bônus. Você pode contribuir mais do que os outros jogadores para a magnificência da Snowdon Mountain Railway?"
Cascadia,"Cascadia é um jogo intrigante de colocação de peças e desenho de fichas que apresenta os habitats e a vida selvagem do Noroeste do Pacífico. No jogo, você se reveza para construir sua própria área de terreno e preenchê-la com vida selvagem. Você começa com três fichas de habitat hexagonais (com cinco tipos de habitat no jogo) e em um turno você escolhe uma nova ficha de habitat que está emparelhada com uma ficha de vida selvagem, depois coloca essa ficha ao lado das outras e coloca a ficha de vida selvagem um habitat adequado. (Cada peça representa 1-3 tipos de vida selvagem dos cinco tipos no jogo, e você pode colocar no máximo uma peça em um habitat.) Quatro peças estão em exibição, com cada peça sendo emparelhada aleatoriamente com uma ficha de vida selvagem, então você deve aproveitar ao máximo o que está disponível   a menos que você tenha uma ficha de natureza para gastar para que possa escolher sua escolha de cada item. Idealmente, você pode colocar peças de habitat para criar terrenos correspondentes que reduzam a fragmentação e criem corredores de vida selvagem, principalmente porque você pontua para a maior área de cada tipo de habitat no final do jogo, com um bônus se o seu grupo for maior que o de cada outro jogador. Ao mesmo tempo, você deseja colocar fichas de vida selvagem para maximizar o número de pontos marcados por elas, com os objetivos de vida selvagem sendo determinados aleatoriamente por uma das três cartas de pontuação para cada tipo de vida selvagem. Talvez os falcões queiram estar separados de outros falcões, enquanto as raposas querem muitos animais diferentes ao seu redor e os ursos querem estar em pares. Você pode fazer isso acontecer?"
Shakespeare,"Os teatros de Londres estão agitados. Em uma semana, Sua Majestade a Rainha estará presente em seus novos shows e concederá seu apoio a uma das trupes. É a chance de uma vida para os jovens autores que estão inflamando a população com peças cada vez mais audaciosas e heterogêneas. Mas como você cria uma obra-prima em tão pouco tempo? Quem tiver a resposta para essa pergunta espinhosa provavelmente entrará nos rolos da história! Em Shakespeare, os jogadores são gerentes de teatro que devem recrutar atores, artesãos, joalheiros e outros para reunir tudo o que é necessário para a apresentação da peça no final de semana. Mais detalhadamente, o jogo dura seis dias e a cada dia os jogadores recrutam um novo personagem   começando com cinco no início do jogo: quatro idênticos em seu tabuleiro de jogador individual e um que eles redigiram   e faça de 1 a 5 ações com os personagens que eles têm. Personagens e suas ações são:   Atores: Ensaiar um ou mais atos na peça de três atos; quanto mais você ensaia, mais benefícios você recebe durante os ensaios gerais nos dias quatro e seis.  Amante do figurino: Pegue elementos do figurino para aprimorar seus atores; se não tiverem um traje completo, não poderão participar dos ensaios gerais.  Aparador de conjunto: Construa o conjunto. Quanto mais elaborado for o conjunto que você construir, mais recompensas você receberá   mas o conjunto deve ser simétrico!  Handyman: Configure-os para trabalhar no que você precisar. Esses joes podem montar figurinos e cenários, mas não são muito bons nisso.  Assistente: Aumente o poder de seus artesãos, ou seja, os três papéis descritos acima.  Joalheiro: Pegue um elemento de fantasia de ouro ou peça para deslumbrar a multidão.  Rainha: Ganhe dinheiro dando-lhe uma espiada antecipada, ou ganhe um objetivo para ganhar seu favor no último dia.  Depois que os jogadores realizam ações, eles verificam o nível de ambiente individual em seu teatro, ganhando ou perdendo pontos ou tempo de ensaio, dependendo da atmosfera. O ensaio geral no quarto e sexto dia oferece outra chance para os atores totalmente vestidos se apresentarem, e aqueles que são bem ensaiados ganham pontos ou dinheiro. Em todos os dias, exceto nos últimos, os jogadores devem permitir que os personagens que atuaram descansem, com apenas um desses personagens podendo trabalhar no dia seguinte. Assim, quanto mais você os colocar para trabalhar hoje, menos poderá fazer amanhã   mas aqueles que não planejam fazer tanto agem antes de outros jogadores, então isso pode ser uma coisa boa. No final, os jogadores devem pagar seus atores, com cada ator não pago manchando sua reputação e custando pontos. Quem terminar com mais pontos de prestígio vence."
Black Angel,"A humanidade, por seu comportamento irresponsável, esgotou os recursos naturais da Terra, tornando-a quase inabitável. Em uma explosão de lucidez, pressionadas pela degradação irreversível de seu planeta, as grandes nações são obrigadas a deixar de lado suas diferenças e compartilhar seus conhecimentos para criar a mais vasta espaçonave já construída. Assim, é lançado o projeto BLACK ANGEL. A Black Angel, a primeira fragata intergaláctica da história, deve transportar a herança genética da humanidade para além dos mundos conhecidos, em uma jornada que provavelmente durará vários milhares de anos. Sua tripulação será composta apenas por robôs. Como nenhuma nação está disposta a confiar na criação da IA ​​(inteligência artificial) que controlará essa tripulação para qualquer outra nação, um compromisso é encontrado: o Black Angel será co-gerenciado por várias IAs, e a utilidade de cada decisão será avaliado em VP (Processo de Validação). Na conclusão desta longa e perigosa viagem, quando um novo planeta habitável for alcançado, a IA que ganhou mais VP será encarregada de despertar a Humanidade e supervisionar seu novo começo . Todos os relatos estão de acordo: O Anjo Negro está se aproximando de Spes, um planeta com maior probabilidade de habitabilidade pela espécie humana. Aproveite nossa abordagem para manter as boas relações que você gradualmente construiu com as espécies alienígenas benevolentes que povoam a galáxia e tome cuidado com os temidos Ravagers, que fariam qualquer coisa para impedir que você chegasse a Spes."
Reykholt,"Cultivar tomates, alface ou cenouras na Islândia? Que ideia absurda! Mas ainda assim, quem teve essa ideia foi um gênio! A energia geotérmica na ilha permite que você cultive as frutas e vegetais mais inesperados   uma estranheza que nenhum turista gostaria de perder. Você não é o único fazendeiro em Reykholt que quer fazer fortuna com isso, então é melhor ser rápido! A temporada turística em Reykholt é curta, e há mais pessoas chegando a cada ano. Fazer uso das pessoas certas e ter os vegetais certos na hora certa em Reykholt lhe dará a vantagem necessária para vencer a corrida!"
Tang Garden,"A dinastia Tang foi considerada a primeira era de ouro dos jardins chineses clássicos e agora icônicos. O imperador Xuanzong construiu o magnífico Jardim imperial do Majestic Clear Lake como uma homenagem à própria vida e de onde ele governou. Os jogadores atuarão como designers de jardins imperiais e serão chamados para construir o jardim mais incrível enquanto equilibram os elementos da natureza. Tang Garden é um jogo do tipo Zen que o levará à primeira era de ouro da China, onde os jogadores construirão progressivamente um jardim criando a paisagem, colocando o cenário e projetando sua visão através de panoramas verticais. Durante a construção, os nobres visitarão o jardim para admirar os arredores e a forma como os elementos naturais coexistem no cenário mais deslumbrante que a humanidade já viu. Os jogadores se revezarão jogando uma das duas ações disponíveis no jogo: 1) Colocar peças e combinar os elementos para aumentar seu equilíbrio de natureza pessoal e desbloquear mais miniaturas de personagens. Ao equilibrar os elementos da natureza nos tabuleiros dos jogadores, os jogadores atrairão novos personagens para o jardim. Em cada turno do jogador, se os elementos estiverem balanceados, o jogador terá que escolher uma miniatura dentre as disponíveis e, por fim, decidir qual dos personagens será colocado no jardim, orientando-os para o seu fundo favorito, mantendo o outro com que você continue explorando sua capacidade. 2) Compre cartas de decoração e coloque uma no tabuleiro para ganhar prestígio completando coleções. Os jogadores irão comprar uma quantidade de cartas com base na situação do tabuleiro e escolher uma para manter. Os jogadores terão então que colocar a decoração escolhida em um dos locais disponíveis no jardim, criando um cenário único e sem costura que nunca mais será o mesmo. Durante o jogo, ao colocar peças em partes especiais do tabuleiro, você poderá colocar uma peça panorâmica, um novo elemento que adiciona uma perspectiva sem fim para os visitantes. Tanto os panoramas pequenos quanto os grandes serão colocados perpendicularmente ao quadro, anexando-o à inserção do quadro, criando uma aparência perfeita nos quatro lados do quadro. Os Panoramas irão interagir com os personagens no final do jogo, dando pontos de prestígio com base no que seu visitante vê e gosta. No final do jogo, o jogador com mais prestígio será o vencedor.  descrição do editor"
UBOOT: The Board Game,"U-BOOT: The Board Game é um jogo de mesa totalmente cooperativo e em tempo real da guerra submarina da Segunda Guerra Mundial, projetado pelo Iron Wolf Studio. Ele permite que 1 a 4 jogadores assumam os papéis de Capitão, Primeiro Oficial, Navegador e Engenheiro-Chefe a bordo de um submarino tipo VIIC. O jogo é impulsionado por um aplicativo complementar, permitindo um nível de realismo sem precedentes, bem como uma IA inimiga desafiadora. que levará suas habilidades ao limite. A ação se desdobra tanto na escala estratégica quanto na tática, exigindo sempre trabalho em equipe, gestão eficiente da tripulação e rápida avaliação da situação. Cada uma das quatro funções implica responsabilidades únicas, incentivando os jogadores a desenvolver um esquema de comunicação eficiente e usar terminologia genuína da marinha. O Capitão supervisiona a conclusão dos objetivos da missão, supervisiona os custos dos pontos de ação e é responsável pelo moral da tripulação. O Primeiro Oficial opera o aplicativo complementar, gerencia o fluxo de informações e cuida da saúde da tripulação. O Navigator dirige o submarino definindo seu curso e profundidade, mas também atualiza todas as informações essenciais sobre o mapa estratégico e tático. Por último, mas não menos importante, é o Engenheiro-Chefe, responsável pelos motores, reparos e outros implementos mecânicos a bordo do U-boat (como tanques de lastro, sistemas de armas, etc.). Ao mesmo tempo, cada um dos quatro oficiais comanda seu próprio grupo de tripulantes emitindo ordens dentro de um sistema de colocação de trabalhadores. A ideia por trás do aplicativo complementar é oferecer uma experiência de jogo realista e em tempo real. Para isso, o app conta com os instrumentos mais essenciais do u-boat (como o periscópio, o hidrofone, o Enigma, entre outros). Tenha certeza, no entanto, que a grande maioria da jogabilidade tradicionalmente ocorre no tabuleiro do jogo, com os instrumentos revelando informações ocultas e o aplicativo exigindo apenas certos dados (como o curso do submarino, velocidade etc.) para gerar uma IA adequada. resposta da força inimiga. Ele também é responsável por todos os efeitos sonoros do ambiente, mergulhando ainda mais os jogadores nos interiores claustrofóbicos do tipo VII C. Mas não tenha medo! Com aberto   play sendo uma prioridade de design, você lançará torpedos rapidamente, graças a regras simplificadas, tutoriais em vídeo e níveis de dificuldade variáveis ​​para cada jogador. De escaramuças rápidas, passando por missões de combate completas, até uma campanha total, UBOOT: TBG permitirá que você conduza operações submarinas em todos os principais teatros navais da 2ª Guerra Mundial. O sucesso dessas missões depende da conclusão de várias tarefas delegadas à tripulação pelo Oberkommando der Kriegsmarine (QG da Marinha Alemã), que incluem patrulhamento, emboscada de comboios, colocação de minas em águas inimigas e muito mais! Cada missão exigirá que os jogadores adotem várias estratégias e diferentes estilos de jogo para completá-la com sucesso, e o aplicativo complementar gerará um relatório detalhado no final de cada sessão de jogo (avaliando os esforços dos jogadores e possivelmente premiando condecorações, promoções, etc.). .). Isto é, se o U-boat voltar para casa... O palco está montado e a tripulação está aguardando suas ordens. Você tem o que é preciso para comandar os melhores da Kriegsmarine? Cace ou seja caçado, enquanto você enfrenta os mares tempestuosos do maior conflito da história!  descrição do criador
"
Facts in Five,"Gandhi: The Decolonization of British India, 1917 1947 é o Volume IX da aclamada série COIN da GMT. Explorando um dos experimentos mais proeminentes do mundo com resistência não-violenta, Gandhi nos leva ao subcontinente da Índia, a joia da coroa do Império Britânico, para um olhar detalhado sobre as décadas finais do Raj britânico. 1 a 4 jogadores competem para determinar o futuro da Índia; a transição para o governo doméstico será pacífica, a Índia será dividida por partição ou guerra civil, ou permanecerá firmemente nas garras do império? Gandhi oferece uma nova perspectiva sobre a história da insurgência com a adição de um novo tipo de facção à série COIN, a facção Nonviolent (NV), mantendo o sistema multi-facção, assimétrico e assistido por cartas de títulos anteriores no COIN Series. Os veteranos do COIN poderão entrar imediatamente. Outros recursos incluem: Gandhi como a única peça líder do jogo.  Operações não violentas e atividades especiais.  Ativistas não violentos que estão sempre ativos, mas geralmente imunes às ações de Raj até se envolverem em protestos (ou serem pegos em represálias pós-terror). Protestos que corroem o apoio, mas deixam os ativistas vulneráveis ​​à prisão pelas forças do Raj.  Uma trilha da Unidade Hindu-Muçulmana que mede as tensões entre essas duas comunidades, afetando recursos, operações e vitória.  Uma trilha do domínio britânico que reflete mudanças na política colonial em resposta a eventos no mapa, da determinação à contenção, afetando o custo de várias ações.  Vice-reis britânicos que vêm e vão com cada campanha que passa e têm seus próprios efeitos únicos em cada facção.  Um espaço de prisão fora de jogo que mantém forças não violentas presas durante a lei marcial. As peças podem ser mantidas na prisão durante várias campanhas, mas a um custo para o Raj.  Estados principescos independentes que nunca são controlados por nenhuma facção, mas oferecem um refúgio para insurgentes violentos e não violentos.  Cenários de curta e média duração que permitem o estudo de diferentes períodos da luta contra o domínio britânico na Índia.  Suporte para jogos de paciência, 2 jogadores, 3 jogadores e 4 jogadores.  Em Gandhi, os jogadores enfrentarão uma série de escolhas estratégicas difíceis e interessantes. Seguindo os passos inovadores de títulos anteriores de COIN, Gandhi tece linhas históricas, políticas e culturais e oferece uma oportunidade para estudar a resistência não-violenta e violenta em uma das possessões coloniais mais significativas da era do imperialismo europeu. Desobediência civil e não cooperação, protestos e terror, imperialismo e programa construtivo, agitação crescente, negociação, agitação, assassinato, persuasão, boicotes, lei marcial e muitas outras opções aguardam.  Gandhi tornou impossível para nós continuarmos governando a Índia, mas ao mesmo tempo ele tornou possível abdicarmos sem rancor e sem desonra   O historiador britânico Arnold Toynbee
"
"Gandhi: The Decolonization of British India, 1917 – 1947","A partir do final da Revolução Americana, os navios comerciais da jovem república dos Estados Unidos foram presa fácil para os piratas da costa berberesa. Em 1801, o recém-empossado presidente Thomas Jefferson estava ansioso para acabar com essa ameaça e enviou um  esquadrão de observação  ao Mediterrâneo. Quando o esquadrão chegou a Gibraltar, eles souberam que o bashaw de Trípoli já havia declarado GUERRA! The Shores of Tripoli representa este emocionante episódio da história militar americana. Assim como os Estados Unidos, um jogador pressionará a Tripolitânia a permitir a livre circulação de navios mercantes americanos - ou enfrentará as consequências. Como o bashaw de Trípoli, o outro jogador continuará a lucrativa pirataria dos temíveis corsários enquanto combate a ameaça americana em terra e mar. Cartões bonitos e informativos representam eventos históricos e líderes da Primeira Guerra Bárbara. Os jogadores podem mover navios, iniciar batalhas, participar de ataques piratas, envolver-se em diplomacia e receber reforços. Inclui mais de 80 peças de madeira, 24 dados e um mapa premium montado.  descrição da editora AWARDS Best 2-Player Game of 2020 (New York magazine) Top 15 Games of 2020 (#7, Paste magazine) Game of the Year 2020 Nominee (Meeple Mountain) Melhor jogo de 2 jogadores de 2020 (Meeple Mountain) Top 10 jogos de 2020 (#4, Cody Carlson) Melhor jogo de 2 jogadores de 2020 (Rolling Dice   Taking Nomes) Jogo de Guerra do Ano (RMN Gamer) Top 6 Solitaire Wargames de 2020 (Wayne Hansen) Top 10;Top 10 Wargames de nível básico (#3, Midnight Boardgaming) Top 3 Jogos de Guerra Solo para Começar (#2, Beyond Solitaire) The Spiel Foundation  Spiel of Approval "
Endless Winter: Paleoamericans,"Projetado por Stan Kordonskiy (Dice Hospital, Rurik, Lock Up), desenvolvido por Jonny Pac (Coloma, Sierra West, Lions of Lydia), modo solo por Drake Villareal (Solani, Spook Manor) e ilustrado por The Mico (Raiders of the Mar do Norte, Paladins of the West Kingdom, Valeria), Endless Winter: Paleoamericans ocorre na América do Norte, por volta de 10.000 aC. Os jogadores guiam o desenvolvimento de suas tribos ao longo de várias gerações – de caçadores-coletores nômades a prósperas sociedades tribais. Ao longo do jogo, as tribos migram e colonizam novas terras, estabelecem tradições culturais, caçam megafauna paleolítica e constroem estruturas megalíticas eternas. Endless Winter é um jogo estilo euro que combina a colocação de trabalhadores e a construção de decks de uma forma inovadora. A cada rodada, os jogadores enviam os membros de sua tribo para vários espaços de ação e pagam pelas ações jogando cartas e gastando recursos. Cartas de tribo concedem trabalho adicional, enquanto cartas de cultura fornecem uma variedade de efeitos únicos. Como alternativa, as cartas podem ser salvas para uma fase Eclipse de fim de rodada, onde são reveladas simultaneamente para determinar a ordem do novo jogador e acionar várias ações de bônus. O jogo apresenta uma nova mistura de sistemas e mecanismos entrelaçados, como cartões multiuso, influência de área, colocação de peças e coleção de conjuntos. Além disso, existem muitos caminhos viáveis ​​para a vitória. Após quatro rodadas rápidas, as pontuações são computadas e a tribo com mais pontos vence!   descrição do editor"
Gutenberg,"Gutenberg é um jogo de tabuleiro para 1-4 pessoas no qual os jogadores jogarão como os pioneiros da impressão no século XV. Ao cumprir ordens, eles construirão sua riqueza e fama. Melhorando suas oficinas de impressão e ganhando o apoio de patronos, eles desenvolverão sua capacidade de produção. O jogo será ganho por um impressor que ostenta o maior reconhecimento e riqueza. Ao licitar ações específicas, os jogadores desenvolverão sua oficina, adquirirão novas fontes, tintas e decorações. O sistema único de engrenagens rotativas permite combinar bônus e ganhar um grande número de pontos. O jogo é ganho pelo jogador com mais pontos após seis rodadas."
Prolix,"No Prolix, os jogadores marcam pontos inventando palavras cujas letras correspondem às das fichas de letras no tabuleiro. Ao contrário de outros jogos de palavras, você não precisa que todas as letras de uma palavra estejam no quadro para usar essa palavra. Isso significa que você é livre para usar todas as palavras que sempre quis usar em outros jogos de palavras, mas sempre faltavam algumas peças ou cartas! É claro que as letras da sua palavra não serão pontuadas se não estiverem no quadro, portanto, mesmo palavras grandes podem ser ruins se você não usá-las no momento certo. As letras pontuam com base em quão raras são e onde estão no quadro. Assim que você terminar de pontuar suas letras, todas as fichas de letras se movem pelo tabuleiro, alterando seu valor. Se você tem uma boa palavra, mas não é a sua vez, você pode interromper a vez de outro jogador e pontuar. Mas tome cuidado, pois você pode perder pontos interrompendo com palavras de baixa pontuação. E, claro, outros jogadores podem interromper seu turno, se quiserem, ou até mesmo forçá-lo a dizer uma palavra virando um cronômetro. Microbadges Compre Microbadge - Prolix Fan  Distribuição de letras: todas as consoantes ocorrem cinco vezes, com exceção de quatro letras que ocorrem duas vezes (K,V,W,Y), e quatro letras que ocorrem apenas uma vez (J,Q, X, Z)."
Space Race,"O mundo luta na Guerra Fria, e muitos veem o céu como o próximo campo de batalha. A era da Corrida Espacial está apenas começando. Você tem o que é preciso para liderar uma agência espacial ousada em uma nova era de conquistas humanas? Space Race acontece durante as primeiras sete décadas da conquista do espaço, e os jogadores se tornam diretores de agências espaciais recém-criadas. Seu objetivo é expandi-los e alcançar avanços surpreendentes. Durante o jogo, os jogadores desenvolverão suas Agências Espaciais adquirindo várias cartas (engenheiros, tecnologias, programas espaciais) de um conjunto compartilhado de cartas chamado Universo. Space Race: The Board Game é um jogo baseado em encontrar sinergias e construir combinações poderosas a partir de diferentes habilidades. Não há estratégia vencedora garantida: os jogadores têm que responder a um ambiente em constante mudança para identificar o melhor curso de desenvolvimento enquanto competem com seus oponentes pelas descobertas mais interessantes. O jogo é disputado em sete rodadas. A cada rodada, os jogadores adquirem novas cartas em suas agências e ativam habilidades em cartas que já possuem. Para fazer isso, os jogadores gastam um do conjunto limitado de Cartas de Controle durante cada rodada. O jogador que cria a Agência Espacial mais desenvolvida, constrói o Laboratório mais impressionante e alcança os avanços mais notáveis ​​vence a Corrida Espacial. A Corrida Espacial usa um mecanismo de seleção de ação simultânea no início de cada rodada, quando os jogadores escolhem uma de suas Cartas de Controle restantes que determinarão quais habilidades os jogadores podem usar durante a rodada. Cada carta de controle ativa uma das quatro faixas possíveis nas cartas e os jogadores só podem usar as habilidades que estão na faixa ativa. Como existem apenas 3 cartas de controle de cada um dos 4 tipos e nenhuma carta de controle pode ser usada mais de uma vez, os jogadores devem combinar diferentes tipos de cartas e habilidades para ter sucesso durante as 7 rodadas do jogo.  descrição do designer"
